,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission
298,Toyota,2012.0,Foreign Used,172079.0,2500.0,Petrol,Automatic
299,Toyota,2015.0,Nigerian Used,47602.0,3500.0,Petrol,Automatic
300,Toyota,2017.0,Foreign Used,78320.0,2500.0,Petrol,Automatic
301,Toyota,2009.0,Foreign Used,104917.0,2400.0,Petrol,Automatic
302,Lexus,2007.0,Foreign Used,203757.0,3500.0,Petrol,Automatic
303,Toyota,2011.0,Foreign Used,211357.0,2500.0,Petrol,Automatic
304,Toyota,2014.0,Foreign Used,115296.0,3500.0,Petrol,Automatic
305,Lexus,2008.0,Nigerian Used,142273.0,3500.0,Petrol,Automatic
306,Land Rover,2018.0,Foreign Used,59656.0,3000.0,Diesel,Automatic
307,Mercedes-Benz,2009.0,Nigerian Used,100337.0,4600.0,Petrol,Automatic
308,Toyota,2011.0,Foreign Used,145489.0,2500.0,Petrol,Automatic
309,Toyota,2019.0,Foreign Used,63646.0,2500.0,Petrol,Automatic
310,Mercedes-Benz,2004.0,Foreign Used,204436.0,2600.0,Petrol,Automatic
311,Land Rover,2006.0,Foreign Used,118872.0,3500.0,Petrol,Automatic
312,Toyota,2015.0,Foreign Used,150157.0,2700.0,Petrol,Automatic
313,Mercedes-Benz,2015.0,Nigerian Used,61515.0,3500.0,Petrol,Automatic
314,Toyota,2012.0,Nigerian Used,47180.0,2700.0,Petrol,Automatic
315,Toyota,2011.0,Foreign Used,185047.0,2500.0,Petrol,Automatic
316,Toyota,2009.0,Foreign Used,127674.0,2700.0,Petrol,Automatic
317,Lexus,2007.0,Foreign Used,110621.0,2500.0,Petrol,Automatic
318,Lexus,2008.0,Foreign Used,73213.0,2500.0,Petrol,Automatic
319,Lexus,2004.0,Foreign Used,272206.0,4700.0,Petrol,Automatic
320,Lexus,2008.0,Foreign Used,227424.0,2500.0,Petrol,Automatic
322,Lexus,2006.0,Nigerian Used,160209.0,2500.0,Petrol,Automatic
323,Mercedes-Benz,2017.0,Foreign Used,62879.0,2000.0,Petrol,Automatic
324,Mercedes-Benz,2011.0,Nigerian Used,101316.0,3500.0,Petrol,Automatic
325,Lexus,2006.0,Nigerian Used,210014.0,4700.0,Petrol,Automatic
326,Mercedes-Benz,2015.0,Nigerian Used,61515.0,3500.0,Petrol,Automatic
327,Toyota,2015.0,Nigerian Used,37591.0,3500.0,Petrol,Automatic
328,Mercedes-Benz,2009.0,Foreign Used,232438.0,3500.0,Petrol,Automatic
329,Toyota,2011.0,Foreign Used,317231.0,2400.0,Petrol,Automatic
330,Toyota,2012.0,Foreign Used,325938.0,2500.0,Petrol,Automatic
331,Mercedes-Benz,2012.0,Foreign Used,148637.0,3500.0,Petrol,Automatic
332,Toyota,2009.0,Nigerian Used,149599.0,3500.0,Petrol,Automatic
333,Toyota,2015.0,Foreign Used,354563.0,2400.0,Petrol,Manual
334,Lexus,2007.0,Foreign Used,260907.0,3500.0,Petrol,Automatic
335,Toyota,2011.0,Foreign Used,89330.0,3500.0,Petrol,Automatic
336,Acura,2007.0,Foreign Used,196814.0,3700.0,Petrol,Automatic
338,Lexus,2006.0,Nigerian Used,157518.0,3300.0,Petrol,Automatic
339,Toyota,2016.0,Foreign Used,149753.0,2500.0,Hybrid,Automatic
340,Lexus,2018.0,Foreign Used,47581.0,2000.0,Petrol,Automatic
341,Acura,2008.0,Nigerian Used,174107.0,3700.0,Petrol,Automatic
342,Acura,2007.0,Foreign Used,142822.0,2300.0,Petrol,Automatic
343,Mercedes-Benz,2011.0,Foreign Used,203172.0,3500.0,Petrol,Automatic
344,Land Rover,2008.0,Foreign Used,418613.0,4400.0,Petrol,Automatic
345,Toyota,2013.0,Nigerian Used,103941.0,2700.0,Petrol,Automatic
347,Lincoln,2008.0,Foreign Used,186615.0,3500.0,Petrol,Automatic
348,Mercedes-Benz,2010.0,Foreign Used,149647.0,3500.0,Petrol,Automatic
349,Mercedes-Benz,2011.0,Nigerian Used,73624.0,3500.0,Petrol,Automatic
350,Land Rover,2013.0,Nigerian Used,70430.0,2000.0,Petrol,Automatic
351,Toyota,2011.0,Foreign Used,244495.0,3500.0,Petrol,Automatic
352,Toyota,2013.0,Foreign Used,135027.0,2500.0,Petrol,Automatic
354,Toyota,2006.0,Foreign Used,389832.0,3500.0,Petrol,Automatic
355,Mercedes-Benz,2009.0,Foreign Used,232438.0,3500.0,Petrol,Automatic
356,Land Rover,2010.0,Nigerian Used,140366.0,5000.0,Petrol,Automatic
